NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;Unnamed: 20;Is_Mega;Has_Evolution;Is_Dual_Type;Type_I_encoded;Type_II_encoded;Type_Bug;Type_Dark;Type_Dragon;Type_Electric;Type_Fairy;Type_Fighting;Type_Fire;Type_Flying;Type_Ghost;Type_Grass;Type_Ground;Type_Ice;Type_Normal;Type_Poison;Type_Psychic;Type_Rock;Type_Steel;Type_Water;vs_Normal;vs_Fire;vs_Water;vs_Electric;vs_Grass;vs_Ice;vs_Fighting;vs_Poison;vs_Ground;vs_Flying;vs_Psychic;vs_Bug;vs_Rock;vs_Ghost;vs_Dragon;vs_Dark;vs_Steel;vs_Fairy;n_weaknesses;n_resistances;n_immunities;n_x4_weaknesses;defensive_score_type;Bulk;Offensive_Score;Defensive_Score;Physical_Bias;Speed_Class;Catch_numeric;Catch_Difficulty
8.0;Wartortle;59;63;80;65;80;58;405.0;Water;;Torrent;;Rain Dish;1 Def/1 SpD;M (87.5%);Monster;Water 1;45;Lv. 16;;False;1;0;17;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;1.0;0.5;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;3;3;0;0;0;219;64.0;73.0;-2;Slow;45.0;210.0
9.0;Blastoise;79;83;100;85;105;78;530.0;Water;;Torrent;;Rain Dish;3 SpD;M (87.5%);Monster;Water 1;45;Lv. 36;;False;1;0;17;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;1.0;0.5;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;3;3;0;0;0;284;84.0;9.466.666.666.666.660;-2;Average;45.0;210.0
9.0;Mega Blastoise;79;103;120;135;115;78;630.0;Water;;Mega Launcher;;;;;;;;;;True;0;0;17;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;1.0;0.5;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;3;3;0;0;0;314;119.0;10.466.666.666.666.600;-32;Average;;128.0
10.0;Caterpie;45;30;35;20;20;45;195.0;Bug;;Shield Dust;;Run Away;1 HP;Neutral;Bug;;255;;;False;0;0;0;12;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;0.5;1.0;0.5;2.0;1.0;1.0;0.5;1.0;2.0;0.5;0.5;3;7;0;0;4;100;25.0;33.333.333.333.333.300;10;Very Slow;255.0;0.0
11.0;Metapod;50;20;55;25;25;30;205.0;Bug;;Shed Skin;;;1 Def;Neutral;Bug;;120;Lv. 7;;False;1;0;0;12;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;0.5;1.0;0.5;2.0;1.0;1.0;0.5;1.0;2.0;0.5;0.5;3;7;0;0;4;130;22.5;43.333.333.333.333.300;-5;Very Slow;120.0;135.0
12.0;Butterfree;60;45;50;90;80;70;395.0;Bug;Flying;Compoundeyes;;Tinted Lens;2 SpA/1 SpD;Neutral;Bug;;45;Lv. 10;;False;1;1;0;7;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;0.5;4.0;1.0;1.0;0.5;1.0;0.5;2.0;2.0;0.5;0.5;1.0;2.0;0.5;0.5;4;8;0;1;4;190;67.5;63.333.333.333.333.300;-45;Average;45.0;210.0
13.0;Weedle;40;35;30;20;20;50;195.0;Bug;Poison;Shield Dust;;Run Away;1 Spe;Neutral;Bug;;255;;;False;0;1;0;14;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;4.0;1.0;0.5;0.25;0.5;0.5;2.0;1.0;1.0;0.25;1.0;2.0;0.0;1.0;3;7;1;1;6;90;27.5;30.0;15;Slow;255.0;0.0
14.0;Kakuna;45;25;50;25;25;35;205.0;Bug;Poison;Shed Skin;;;2 Def;Neutral;Bug;;120;Lv. 7;;False;1;1;0;14;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;4.0;1.0;0.5;0.25;0.5;0.5;2.0;1.0;1.0;0.25;1.0;2.0;0.0;1.0;3;7;1;1;6;120;25.0;40.0;0;Very Slow;120.0;135.0
15.0;Beedrill;65;90;40;45;80;75;395.0;Bug;Poison;Swarm;;Sniper;2 Atk/1 SpD;Neutral;Bug;;45;Lv. 10;;False;1;1;0;14;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;4.0;1.0;0.5;0.25;0.5;0.5;2.0;1.0;1.0;0.25;1.0;2.0;0.0;1.0;3;7;1;1;6;185;67.5;61.666.666.666.666.600;45;Average;45.0;210.0
15.0;Mega Beedrill;65;150;40;15;80;145;495.0;Bug;Poison;Adaptability;;;;;;;;;;True;0;1;0;14;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;4.0;1.0;0.5;0.25;0.5;0.5;2.0;1.0;1.0;0.25;1.0;2.0;0.0;1.0;3;7;1;1;6;185;82.5;61.666.666.666.666.600;135;Elite;;128.0
16.0;Pidgey;40;45;40;35;35;56;251.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;1 Spe;Neutral;Flying;;255;;;False;0;1;12;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;0.0;1.0;1.0;1.0;1.0;3;3;1;0;2;115;40.0;38.333.333.333.333.300;10;Slow;255.0;0.0
17.0;Pidgeotto;63;60;55;50;50;71;349.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;2 Spe;Neutral;Flying;;120;Lv. 18;;False;1;1;12;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;0.0;1.0;1.0;1.0;1.0;3;3;1;0;2;168;55.0;56.0;10;Average;120.0;135.0
18.0;Mega Pidgeot;83;80;80;135;80;121;579.0;Normal;Flying;No Guard;;;;;;;;;;True;0;1;12;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;0.0;1.0;1.0;1.0;1.0;3;3;1;0;2;243;107.5;81.0;-55;Fast;;128.0
18.0;Pidgeot;83;80;75;70;70;101;479.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;3 Spe;Neutral;Flying;;45;Lv. 36;;False;1;1;12;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;0.0;1.0;1.0;1.0;1.0;3;3;1;0;2;228;75.0;76.0;10;Fast;45.0;210.0
19.0;Rattata;30;56;35;25;35;72;253.0;Normal;;Run Away;Guts;Hustle;1 Spe;Neutral;Field;;255;;;False;0;0;12;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0;1;1;0;3;100;40.5;33.333.333.333.333.300;31;Average;255.0;0.0
19.0;Rattata-Alolan;30;56;35;25;35;72;253.0;Dark;Normal;Gluttony;Hustle;Thick Fat;1 Spd;Neutral;;;;;;False;0;1;1;13;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;0.5;1.0;0.5;1;4;1;0;5;100;40.5;33.333.333.333.333.300;31;Average;;128.0
20.0;Raticate;55;81;60;50;70;97;413.0;Normal;;Run Away;Guts;Hustle;2 Spe;Neutral;Field;;127;Lv. 20;;False;1;0;12;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0;1;1;0;3;185;65.5;61.666.666.666.666.600;31;Average;127.0;128.0
20.0;Raticate-Alolan;75;71;70;40;80;77;413.0;Dark;Normal;Gluttony;Hustle;Thick Fat;2 Spd;Neutral;;;;Level 20 (At night);;False;1;1;1;13;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;0.5;1.0;0.5;1;4;1;0;5;225;55.5;75.0;31;Average;;128.0
21.0;Spearow;40;60;30;31;31;70;262.0;Normal;Flying;Keen Eye;;Sniper;1 Spe;Neutral;Flying;;255;;;False;0;1;12;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;0.0;1.0;1.0;1.0;1.0;3;3;1;0;2;101;45.5;33.666.666.666.666.600;29;Average;255.0;0.0
22.0;Fearow;65;90;65;61;61;100;442.0;Normal;Flying;Keen Eye;;Sniper;2 Spe;Neutral;Flying;;90;Lv. 20;;False;1;1;12;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;0.5;0.0;1.0;1.0;1.0;1.0;3;3;1;0;2;191;75.5;63.666.666.666.666.600;29;Fast;90.0;165.0
23.0;Ekans;35;60;44;40;54;55;288.0;Poison;;Intimidate;Shed Skin;Unnerve;1 Atk;Neutral;Field;Dragon;255;;;False;0;0;13;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;2.0;2;4;1;0;4;133;50.0;44.333.333.333.333.300;20;Slow;255.0;0.0
24.0;Arbok;60;95;69;65;79;80;448.0;Poison;;Intimidate;Shed Skin;Unnerve;2 Atk;Neutral;Field;Dragon;90;Lv. 22;;False;1;0;13;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;2.0;2;4;1;0;4;208;80.0;6.933.333.333.333.330;30;Average;90.0;165.0
25.0;Partner Pikachu;45;80;50;75;60;120;430.0;Electric;;;;;2 Spd;Neutral;;;;N;;False;0;0;3;12;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2;4;1;0;4;155;77.5;51.666.666.666.666.600;5;Fast;;128.0
25.0;Pikachu;35;55;40;50;50;90;320.0;Electric;;Static;;Lightningrod;2 Spe;Neutral;Field;Fairy;190;Friendship;;False;1;0;3;12;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2;4;1;0;4;125;52.5;41.666.666.666.666.600;5;Average;190.0;65.0
26.0;Mega Raichu X;60;135;95;90;95;110;585.0;Electric;;;;;;;;;;;;True;0;0;3;12;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2;4;1;0;4;250;112.5;8.333.333.333.333.330;45;Fast;;128.0
26.0;Mega Raichu Y;60;100;55;160;80;130;585.0;Electric;;;;;;;;;;;;True;0;0;3;12;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2;4;1;0;4;195;130.0;65.0;-60;Elite;;128.0
26.0;Raichu;60;90;55;90;80;110;485.0;Electric;;Static;;Lightningrod;3 Spe;Neutral;Field;Fairy;75;Thunderstone;;False;1;0;3;12;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;2;4;1;0;4;195;90.0;65.0;0;Fast;75.0;180.0
26.0;Raichu-Alolan;60;85;50;95;85;110;485.0;Electric;Psychic;Surge Surfer;;;3 Spd;Neutral;;;;Thunderstone (Alola Only);;False;1;1;3;15;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.5;1.0;2.0;2.0;0.0;2.0;0.5;1.0;1.0;1.0;0.5;0.0;0.5;1.0;4;7;2;0;7;195;90.0;65.0;-10;Fast;;128.0
27.0;Sandshrew;50;75;85;20;30;40;300.0;Ground;;Sand Veil;;Sand Rush;1 Def;Neutral;Field;;255;;;False;0;0;10;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.0;1.0;0.5;2.0;1.0;1.0;1.0;2.0;1.0;4;3;1;0;1;165;47.5;55.0;55;Very Slow;255.0;0.0
27.0;Sandshrew-Alolan;50;75;90;10;35;40;300.0;Ice;Steel;Snow Cloak;;Slush Rush;1 Def;Neutral;;;;;;False;0;1;11;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;0.25;0.5;2.0;1.0;1.0;1.0;2.0;1.0;0.5;0.5;2.0;1.0;1.0;1.0;0.25;2.0;4;6;0;0;2;175;42.5;58.333.333.333.333.300;65;Very Slow;;128.0
28.0;Sandslash;75;100;110;45;55;65;450.0;Ground;;Sand Veil;;Sand Rush;2 Def;Neutral;Field;;90;Lv. 22;;False;1;0;10;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.0;1.0;0.5;2.0;1.0;1.0;1.0;2.0;1.0;4;3;1;0;1;240;72.5;80.0;55;Slow;90.0;165.0
28.0;Sandslash-Alolan;75;100;120;25;65;65;450.0;Ice;Steel;Snow Cloak;;Slush Rush;2 Def;Neutral;;;;Ice Stone;;False;1;1;11;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;0.25;0.5;2.0;1.0;1.0;1.0;2.0;1.0;0.5;0.5;2.0;1.0;1.0;1.0;0.25;2.0;4;6;0;0;2;260;62.5;8.666.666.666.666.660;75;Slow;;128.0
29.0;Nidoran ♀;55;47;52;40;40;41;275.0;Poison;;Poison Point;Rivalry;Hustle;1 HP;F (100%);Monster;Field;235;;;False;0;0;13;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;2.0;2;4;1;0;4;147;43.5;49.0;7;Very Slow;235.0;20.0
30.0;Nidorina;70;62;67;55;55;56;365.0;Poison;;Poison Point;Rivalry;Hustle;2 HP;F (100%);-;;120;Lv. 16;;False;1;0;13;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;2.0;2;4;1;0;4;192;58.5;64.0;7;Slow;120.0;135.0
31.0;Nidoqueen;90;92;87;75;85;76;505.0;Poison;Ground;Poison Point;Rivalry;Sheer Force;3 HP;F (100%);-;;45;Moon Stone;;False;1;1;13;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;1.0;0.5;2.0;0.5;1.0;1.0;0.0;2.0;3;5;2;0;6;262;83.5;8.733.333.333.333.330;17;Average;45.0;210.0
32.0;Nidoran ♂;46;57;40;40;40;50;273.0;Poison;;Poison Point;Rivalry;Hustle;1 Atk;M (100%);Monster;Field;235;;;False;0;0;13;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;2.0;2;4;1;0;4;126;48.5;42.0;17;Slow;235.0;20.0
33.0;Nidorino;61;72;57;55;55;65;365.0;Poison;;Poison Point;Rivalry;Hustle;2 Atk;M (100%);Monster;Field;120;Lv. 16;;False;1;0;13;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;2.0;2;4;1;0;4;173;63.5;57.666.666.666.666.600;17;Slow;120.0;135.0
34.0;Nidoking;81;102;77;85;75;85;505.0;Poison;Ground;Poison Point;Rivalry;Sheer Force;3 Atk;M (100%);Monster;Field;45;Moon Stone;;False;1;1;13;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;1.0;0.5;2.0;0.5;1.0;1.0;0.0;2.0;3;5;2;0;6;233;93.5;7.766.666.666.666.660;17;Average;45.0;210.0
35.0;Clefairy;70;45;48;60;65;35;323.0;Fairy;;Cute Charm;Magic Guard;Friend Guard;2 HP;F (75%);Fairy;;150;Friendship;;False;1;0;4;12;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;1.0;3;3;0;0;0;183;52.5;61.0;-15;Very Slow;150.0;105.0
