NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;
36;Clefable;95;70;73;95;90;60;483.0;Fairy;N/A;Cute Charm;Magic Guard;Unaware;3 HP;F (75%);Fairy;N/A;25;Moon Stone;
36;Mega Clefable;95;80;93;135;110;70;583.0;Fairy;Flying;Magic Bounce;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
37;Vulpix;38;41;40;50;65;65;299.0;Fire;N/A;Flash Fire;N/A;Drought;1 Spe;F (75%);Field;N/A;190;N/A;
37;Vulpix-Alolan;38;41;40;50;65;65;299.0;Ice;Fairy;Snow Cloak;N/A;Snow Warning;1 Spd;F (75%);N/A;N/A;N/A;N/A;
38;Ninetales;73;76;75;81;100;100;505.0;Fire;N/A;Flash Fire;N/A;Drought;1 SpD/1 Spe;F (75%);Field;N/A;75;Fire Stone;
38;Ninetales-Alolan;73;67;75;81;100;109;505.0;Ice;Fairy;Snow Cloak;N/A;Snow Warning;2 Spd;F (75%);N/A;N/A;N/A;Ice Stone;
39;Jigglypuff;115;45;20;45;25;20;270.0;Normal;Fairy;Cute Charm;N/A;Friend Guard;2 HP;F (75%);Fairy;N/A;170;Friendship;
40;Wigglytuff;140;70;45;85;50;45;435.0;Normal;Fairy;Cute Charm;N/A;Frisk;3 HP;F (75%);Fairy;N/A;50;Moon Stone;
41;Zubat;40;45;35;30;40;55;245.0;Poison;Flying;Inner Focus;N/A;Infiltrator;1 Spe;Neutral;Flying;N/A;255;N/A;
42;Golbat;75;80;70;65;75;90;455.0;Poison;Flying;Inner Focus;N/A;Infiltrator;2 Spe;Neutral;Flying;N/A;90;Lv. 22;
43;Oddish;45;50;55;75;65;30;320.0;Grass;Poison;Chlorophyll;N/A;Run Away;1 SpA;Neutral;Grass;N/A;255;N/A;
44;Gloom;60;65;70;85;75;40;395.0;Grass;Poison;Chlorophyll;N/A;Stench;2 SpA/1 SpD;Neutral;Grass;N/A;120;Lv. 22;
45;Vileplume;75;80;85;110;90;50;490.0;Grass;Poison;Chlorophyll;N/A;Effect Spore;3 SpA;Neutral;Grass;N/A;45;Leaf Stone;
46;Paras;35;70;55;45;55;25;285.0;Bug;Grass;Effect Spore;Dry Skin;Damp;1 Atk;Neutral;Bug;Grass;190;N/A;
47;Parasect;60;95;80;60;80;30;405.0;Bug;Grass;Effect Spore;Dry Skin;Damp;2 Atk/1 Def;Neutral;Bug;Grass;75;Lv. 24;
48;Venonat;60;55;50;40;55;45;305.0;Bug;Poison;Compoundeyes;Tinted Lens;Run Away;1 SpD;Neutral;Bug;N/A;190;N/A;
49;Venomoth;70;65;60;90;75;90;450.0;Bug;Poison;Shield Dust;Tinted Lens;Wonderskin;1 SpA/1 Spe;Neutral;Bug;N/A;75;Lv. 31;
50;Diglett;10;55;25;35;45;95;265.0;Ground;N/A;Sand Veil;Arena Trap;Sand Force;1 Spe;Neutral;Field;N/A;255;N/A;
50;Diglett-Alolan;10;55;30;35;45;90;265.0;Ground;Steel;Sand Veil;Tangling Hair;Sand Force;2 Spd;Neutral;N/A;N/A;N/A;N/A;
51;Dugtrio;35;100;50;50;70;120;425.0;Ground;N/A;Sand Veil;Arena Trap;Sand Force;2 Spe;Neutral;Field;N/A;50;Lv. 26;
51;Dugtrio-Alolan;35;100;60;50;70;110;425.0;Ground;Steel;Sand Veil;Tangling Hair;Sand Force;2 Atk;Neutral;N/A;N/A;N/A;Level 26;
52;Meowth;40;45;35;40;40;90;290.0;Normal;N/A;Pickup;Technician;Unnerve;1 Spe;Neutral;Field;N/A;255;N/A;
52;Meowth-Alolan;40;35;35;50;40;90;290.0;Dark;N/A;Pickup;Technician;Rattled;1 Spd;Neutral;N/A;N/A;N/A;N/A;
52;Meowth-Galarian;50;65;55;40;40;40;290.0;Steel;N/A;Pickup;Tough Claws;Unnerve;1 Atk;Neutral;N/A;N/A;N/A;N/A;
53;Persian;65;70;60;65;65;115;440.0;Normal;N/A;Limber;Technician;Unnerve;2 Spe;Neutral;Field;N/A;90;Lv. 28;
53;Persian-Alolan;65;60;60;75;65;115;440.0;Dark;N/A;Fur Coat;Technician;Rattled;2 Spd;Neutral;N/A;N/A;N/A;Level 26;
54;Psyduck;50;52;48;65;50;55;320.0;Water;N/A;Damp;Cloud Nine;Swift Swim;1 SpA;Neutral;Water 1;Field;190;N/A;
55;Golduck;80;82;78;95;80;85;500.0;Water;N/A;Damp;Cloud Nine;Swift Swim;2 SpA;Neutral;Water 1;Field;75;Lv. 33;
56;Mankey;40;80;35;35;45;70;305.0;Fighting;N/A;Vital Spirit;Anger Point;Defiant;1 Atk;Neutral;Field;N/A;190;N/A;
57;Primeape;65;105;60;60;70;95;455.0;Fighting;N/A;Vital Spirit;Anger Point;Defiant;2 Atk;Neutral;Field;N/A;75;Lv. 28;
58;Growlithe;55;70;45;70;50;60;350.0;Fire;N/A;Intimidate;Flash Fire;Justified;1 Atk;M (75%);Field;N/A;190;N/A;
58;Growlithe-Hisuian;60;75;45;65;50;55;350.0;Fire;Rock;Intimidate;Flash Fire;Justified;1 Atk;M (75%);N/A;N/A;N/A;N/A;
59;Arcanine;90;110;80;100;80;95;555.0;Fire;N/A;Intimidate;Flash Fire;Justified;2 Atk;M (75%);Field;N/A;75;Fire Stone;
59;Arcanine-Hisuian;95;115;80;95;80;90;555.0;Fire;Rock;Intimidate;Flash Fire;Justified;2 Atk;M (75%);N/A;N/A;N/A;Fire Stone;
60;Poliwag;40;50;40;40;40;90;300.0;Water;N/A;Water Absorb;Damp;Swift Swim;1 Spe;Neutral;Water 1;N/A;255;N/A;
61;Poliwhirl;65;65;65;50;50;90;385.0;Water;N/A;Water Absorb;Damp;Swift Swim;2 Spe;Neutral;Water 1;N/A;120;Lv. 25;
62;Poliwrath;90;95;95;70;90;70;510.0;Water;Fighting;Water Absorb;Damp;Swift Swim;3 Def;Neutral;Water 1;N/A;45;Water Stone;
63;Abra;25;20;15;105;55;90;310.0;Psychic;N/A;Synchronize;Inner Focus;Magic Guard;1 SpA;M (75%);Human-Like;N/A;200;N/A;
64;Kadabra;40;35;30;120;70;105;400.0;Psychic;N/A;Synchronize;Inner Focus;Magic Guard;2 SpA;M (75%);Human-Like;N/A;100;Lv. 16;
65;Alakazam;55;50;45;135;95;120;500.0;Psychic;N/A;Synchronize;Inner Focus;Magic Guard;3 SpA;M (75%);Human-Like;N/A;50;Trade;
65;Mega Alakazam;55;50;65;175;105;150;600.0;Psychic;N/A;Trace;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
66;Machop;70;80;50;35;35;35;305.0;Fighting;N/A;Guts;No Guard;Steadfast;1 Atk;M (75%);Human-Like;N/A;180;N/A;
67;Machoke;80;100;70;50;60;45;405.0;Fighting;N/A;Guts;No Guard;Steadfast;2 Atk;M (75%);Human-Like;N/A;90;Lv. 28;
68;Machamp;90;130;80;65;85;55;505.0;Fighting;N/A;Guts;No Guard;Steadfast;3 Atk;M (75%);Human-Like;N/A;45;Trade;
69;Bellsprout;50;75;35;70;30;40;300.0;Grass;Poison;Chlorophyll;N/A;Gluttony;1 Atk;Neutral;Grass;N/A;255;N/A;
70;Weepinbell;65;90;50;85;45;55;390.0;Grass;Poison;Chlorophyll;N/A;Gluttony;2 Atk;Neutral;Grass;N/A;120;Lv. 21;
71;Mega Victreebel;80;125;85;135;95;70;590.0;Grass;Poison;Innards Out;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
71;Victreebel;80;105;65;100;70;70;490.0;Grass;Poison;Chlorophyll;N/A;Gluttony;3 Atk;Neutral;Grass;N/A;45;Leaf Stone;
72;Tentacool;40;40;35;50;100;70;335.0;Water;Poison;Clear Body;Liquid Ooze;Rain Dish;1 SpD;Neutral;Water 3;N/A;190;N/A;
73;Tentacruel;80;70;65;80;120;100;515.0;Water;Poison;Clear Body;Liquid Ooze;Rain Dish;2 SpD;Neutral;Water 3;N/A;60;Lv. 30;
74;Geodude;40;80;100;30;30;20;300.0;Rock;Ground;Rock Head;Sturdy;Sand Veil;1 Def;Neutral;Mineral;N/A;255;N/A;
74;Geodude-Alolan;40;80;100;30;30;20;300.0;Rock;Electric;Magnet Pull;Sturdy;Galvanize;1 Def;Neutral;N/A;N/A;N/A;N/A;
75;Graveler;55;95;115;45;45;35;390.0;Rock;Ground;Rock Head;Sturdy;Sand Veil;2 Def;Neutral;Mineral;N/A;120;Lv. 25;
75;Graveler-Alolan;55;95;115;45;45;35;390.0;Rock;Electric;Magnet Pull;Sturdy;Galvanize;2 Def;Neutral;N/A;N/A;N/A;Level 25;
76;Golem;80;120;130;55;65;45;495.0;Rock;Ground;Rock Head;Sturdy;Sand Veil;3 Def;Neutral;Mineral;N/A;45;Trade;
76;Golem-Alolan;80;120;130;55;65;45;495.0;Rock;Electric;Magnet Pull;Sturdy;Galvanize;3 Def;Neutral;N/A;N/A;N/A;Trade;
77;Ponyta;50;85;55;65;65;90;410.0;Fire;N/A;Run Away;Flash Fire;Flame Body;1 Spe;Neutral;Field;N/A;190;N/A;
77;Ponyta-Galarian;50;85;55;65;65;90;410.0;Psychic;Fairy;Run Away;Pastel Veil;Anticipation;1 Spd;Neutral;N/A;N/A;N/A;N/A;
78;Rapidash;65;100;70;80;80;105;500.0;Fire;N/A;Run Away;Flash Fire;Flame Body;1 Spe;Neutral;Field;N/A;60;Lv. 40;
78;Rapidash-Galarian;65;100;70;80;80;105;500.0;Psychic;Fairy;Run Away;Pastel Veil;Anticipation;2 Spd;Neutral;N/A;N/A;N/A;Level 40;
79;Slowpoke;90;65;65;40;40;15;315.0;Water;Psychic;Oblivious;Own Tempo;Regenerator;1 HP;Neutral;Monster;Water 1;190;N/A;
79;Slowpoke-Galarian;90;65;65;40;40;15;315.0;Psychic;N/A;Gluttony;Own Tempo;Regenerator;1 HP;Neutral;N/A;N/A;N/A;N/A;
80;Mega Slowbro;95;75;180;130;80;30;590.0;Water;Psychic;Shell Armor;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
80;Slowbro;95;75;110;100;80;30;490.0;Water;Psychic;Oblivious;Own Tempo;Regenerator;2 Def;Neutral;Monster;Water 1;75;Lv. 37;
80;Slowbro-Galarian;95;100;95;100;70;30;490.0;Poison;Psychic;Quick Draw;Own Tempo;Regenerator;2 Atk;Neutral;N/A;N/A;N/A;Galarian Cuff;
81;Magnemite;25;35;70;95;55;45;325.0;Electric;Steel;Magnet Pull;Sturdy;Analytic;1 SpA;N/A;Mineral;N/A;190;N/A;
82;Magneton;50;60;95;120;70;70;465.0;Electric;Steel;Magnet Pull;Sturdy;Analytic;2 SpA;N/A;Mineral;N/A;60;Lv. 30;
83;Farfetch'd;52;90;55;58;62;60;377.0;Normal;Flying;Keen Eye;Inner Focus;Defiant;1 Atk;Neutral;Flying;Field;45;N;
83;Farfetch'd-Galarian;52;95;55;58;62;55;377.0;Fighting;N/A;Steadfast;N/A;Scrappy;1 Atk;Neutral;N/A;N/A;N/A;N/A;
84;Doduo;35;85;45;35;35;75;310.0;Normal;Flying;Run Away;Early Bird;Tangled Feet;1 Atk;Neutral;Flying;N/A;190;N/A;
85;Dodrio;60;110;70;60;60;110;470.0;Normal;Flying;Run Away;Early Bird;Tangled Feet;2 Atk;Neutral;Flying;N/A;45;Lv. 31;
86;Seel;65;45;55;45;70;45;325.0;Water;N/A;Thick Fat;Hydration;Ice Body;1 SpD;Neutral;Water 1;Field;190;N/A;
87;Dewgong;90;70;80;70;95;70;475.0;Water;Ice;Thick Fat;Hydration;Ice Body;2 SpD;Neutral;Water 1;Field;75;Lv. 34;
88;Grimer;80;80;50;40;50;25;325.0;Poison;N/A;Stench;Sticky Hold;Poison Touch;1 HP;Neutral;Amorphous;N/A;190;N/A;
88;Grimer-Alolan;80;80;50;40;50;25;325.0;Poison;Dark;Poison Touch;Gluttony;Power of Alchemy;1 HP;Neutral;N/A;N/A;N/A;N/A;
89;Muk;105;105;75;65;100;50;500.0;Poison;N/A;Stench;Sticky Hold;Poison Touch;1 HP/1 Atk;Neutral;Amorphous;N/A;75;Lv. 38;
89;Muk-Alolan;105;105;75;65;100;50;500.0;Poison;Dark;Poison Touch;Gluttony;Power of Alchemy;1 HP, 1 Atk;Neutral;N/A;N/A;N/A;Level 38;
90;Shellder;30;65;100;45;25;40;305.0;Water;N/A;Shell Armor;Skill Link;Overcoat;1 Def;Neutral;Water 3;N/A;190;N/A;
91;Cloyster;50;95;180;85;45;70;525.0;Water;Ice;Shell Armor;Skill Link;Overcoat;2 Def;Neutral;Water 3;N/A;60;Water Stone;
92;Gastly;30;35;30;100;35;80;310.0;Ghost;Poison;Levitate;N/A;N/A;1 SpA;Neutral;Amorphous;N/A;190;N/A;
93;Haunter;45;50;45;115;55;95;405.0;Ghost;Poison;Levitate;N/A;N/A;2 SpA;Neutral;Amorphous;N/A;90;Lv. 25;
94;Gengar;60;65;60;130;75;110;500.0;Ghost;Poison;Cursed Body;N/A;N/A;3 SpA;Neutral;Amorphous;N/A;45;Trade;
94;Mega Gengar;60;65;80;170;95;130;600.0;Ghost;Poison;Shadow Tag;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
95;Onix;35;45;160;30;45;70;385.0;Rock;Ground;Rock Head;Sturdy;Weak Armor;1 Def;Neutral;Mineral;N/A;45;N/A;
96;Drowzee;60;48;45;43;90;42;328.0;Psychic;N/A;Insomnia;Forewarn;Inner Focus;1 SpD;Neutral;Human-Like;N/A;190;N/A;
97;Hypno;85;73;70;73;115;67;483.0;Psychic;N/A;Insomnia;Forewarn;Inner Focus;2 SpD;Neutral;Human-Like;N/A;75;Lv. 26;
98;Krabby;30;105;90;25;25;50;325.0;Water;N/A;Hyper Cutter;Shell Armor;Sheer Force;1 Atk;Neutral;Water 3;N/A;225;N/A;
99;Kingler;55;130;115;50;50;75;475.0;Water;N/A;Hyper Cutter;Shell Armor;Sheer Force;2 Atk;Neutral;Water 3;N/A;60;Lv. 28;
100;Voltorb;40;30;50;55;55;100;330.0;Electric;N/A;Soundproof;Static;Aftermath;1 Spe;N/A;Mineral;N/A;190;N/A;
100;Voltorb-Hisuian;40;30;50;55;55;100;330.0;Electric;Grass;Soundproof;Static;Aftermath;1 Spd;N/A;N/A;N/A;N/A;N/A;
101;Electrode;60;50;70;80;80;150;490.0;Electric;N/A;Soundproof;Static;Aftermath;2 Spe;N/A;Mineral;N/A;60;Lv. 30;
101;Electrode-Hisuian;60;50;70;80;80;150;490.0;Electric;Grass;Soundproof;Static;Aftermath;2 Spd;N/A;Leaf Stone;N/A;N/A;Leaf Stone;
102;Exeggcute;60;40;80;60;45;40;325.0;Grass;Psychic;Chlorophyll;N/A;Harvest;1 Def;Neutral;Grass;N/A;90;N/A;
103;Exeggutor;95;95;85;125;75;55;530.0;Grass;Psychic;Chlorophyll;N/A;Harvest;2 SpA;Neutral;Grass;N/A;45;Leaf Stone;
103;Exeggutor-Alolan;95;105;85;125;75;45;530.0;Grass;N/A;Frisk;N/A;Harvest;2 SpA;Neutral;N/A;N/A;N/A;Leaf Stone (Alola Only);
104;Cubone;50;50;95;40;50;35;320.0;Ground;N/A;Rock Head;Lightningrod;Battle Armor;1 Def;Neutral;Monster;N/A;190;N/A;
105;Marowak;60;80;110;50;80;45;425.0;Ground;N/A;Rock Head;Lightningrod;Battle Armor;2 Def;Neutral;Monster;N/A;75;Lv. 28;
105;Marowak-Alolan;60;80;110;50;80;45;425.0;Ghost;Fire;Cursed Body;Lightning Rod;Rock Head;2 Def;Neutral;N/A;N/A;N/A;Level 28 (Night, Alola Only);
106;Hitmonlee;50;120;53;35;110;87;455.0;Fighting;N/A;Limber;Reckless;Unburden;2 Atk;M (100%);Human-Like;N/A;45;Lv. 20 (Atk>Def);
107;Hitmonchan;50;105;79;35;110;76;455.0;Fighting;N/A;Keen Eye;Iron Fist;Inner Focus;2 SpD;M (100%);Human-Like;N/A;45;Lv. 20 (Atk<Def);
108;Lickitung;90;55;75;60;75;30;385.0;Normal;N/A;Own Tempo;Oblivious;Cloud Nine;2 HP;Neutral;Monster;N/A;45;N/A;
109;Koffing;40;65;95;60;45;35;340.0;Poison;N/A;Levitate;Neutralizing Gas;Stench;1 Def;Neutral;Amorphous;N/A;190;N/A;
110;Weezing;65;90;120;85;70;60;490.0;Poison;N/A;Levitate;Neutralizing Gas;Stench;2 Def;Neutral;Amorphous;N/A;60;Lv. 35;
110;Weezing-Galarian;65;90;120;85;70;60;490.0;Poison;Fairy;Levitate;Neutralizing Gas;Misty Surge;2 Def;Neutral;N/A;N/A;N/A;Level 35 (Galar Only);
111;Rhyhorn;80;85;95;30;30;25;345.0;Ground;Rock;Lightningrod;Rock Head;Reckless;1 Def;Neutral;Monster;Field;120;N/A;
112;Rhydon;105;130;120;45;45;40;485.0;Ground;Rock;Lightningrod;Rock Head;Reckless;2 Atk;Neutral;Monster;Field;60;Lv. 42;
113;Chansey;250;5;5;35;105;50;450.0;Normal;N/A;Natural Cure;Serene Grace;Healer;2 HP;F (100%);Fairy;N/A;30;Morn/Day Fr. h/ Oval Stone;
114;Tangela;65;55;115;100;40;60;435.0;Grass;N/A;Chlorophyll;Leaf Guard;Regenerator;1 Def;Neutral;Grass;N/A;45;N/A;
115;Kangaskhan;105;95;80;40;80;90;490.0;Normal;N/A;Early Bird;Scrappy;Inner Focus;2 HP;F (100%);Monster;N/A;45;N;
115;Mega Kangaskhan;105;125;100;60;100;100;590.0;Normal;N/A;Parental Bond;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
116;Horsea;30;40;70;70;25;60;295.0;Water;N/A;Swift Swim;Sniper;Damp;1 SpA;Neutral;Water 1;Dragon;225;N/A;
117;Seadra;55;65;95;95;45;85;440.0;Water;N/A;Poison Point;Sniper;Damp;1 Def/1 SpA;Neutral;Water 1;Dragon;75;Lv. 32;
118;Goldeen;45;67;60;35;50;63;320.0;Water;N/A;Swift Swim;Water Veil;Lightningrod;1 Atk;Neutral;Water 2;N/A;225;N/A;
119;Seaking;80;92;65;65;80;68;450.0;Water;N/A;Swift Swim;Water Veil;Lightningrod;2 Atk;Neutral;Water 2;N/A;60;Lv. 33;
120;Staryu;30;45;55;70;55;85;340.0;Water;N/A;Illuminate;Natural Cure;Analytic;1 Spe;N/A;Water 3;N/A;225;N/A;
121;Mega Starmie;60;100;105;130;105;120;620.0;Water;Psychic;Huge Power;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
121;Starmie;60;75;85;100;85;115;520.0;Water;Psychic;Illuminate;Natural Cure;Analytic;2 Spe;N/A;Water 3;N/A;60;Water Stone;
122;Mr. Mime;40;45;65;100;120;90;460.0;Psychic;Fairy;Soundproof;Filter;Technician;2 SpD;Neutral;Human-Like;N/A;45;Level w/ Mimic;
122;Mr. Mime-Galarian;50;65;65;90;90;100;460.0;Ice;Fairy;Vital Spirit;Screen Cleaner;Ice Body;2 Spd;Neutral;N/A;N/A;N/A;Knowing Mimic (Galar Only);
123;Scyther;70;110;80;55;80;105;500.0;Bug;Flying;Swarm;Technician;Steadfast;1 Atk;Neutral;Bug;N/A;45;N/A;
124;Jynx;65;50;35;115;95;95;455.0;Ice;Psychic;Oblivious;Forewarn;Dry Skin;2 SpA;F (100%);Human-Like;N/A;45;Lv. 30;
125;Electabuzz;65;83;57;95;85;105;490.0;Electric;N/A;Static;N/A;Vital Spirit;2 Spe;M (75%);Human-Like;N/A;45;Lv. 30;
126;Magmar;65;95;57;100;85;93;495.0;Fire;N/A;Flame Body;N/A;Vital Spirit;2 SpA;M (75%);Human-Like;N/A;45;Lv. 30;
127;Mega Pinsir;65;155;120;65;90;105;600.0;Bug;Flying;Aerilate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
127;Pinsir;65;125;100;55;70;85;500.0;Bug;N/A;Hyper Cutter;Mold Breaker;Moxie;2 Atk;Neutral;Bug;N/A;45;N;
